SOUTHEAST ASIAN CLIMATE ASSESSMENT & DATASET (SACA&D), file created on 25-08-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

van den Besselaar and Coauthors, 2015. International Climate Assessment
& Dataset (ICA&D): climate services across borders.
Bull. Amer. Meteor. Soc., January, 16-21,doi:10.1175/BAMS-D-13-00249.1.
Data and metadata available at http://sacad.database.bmkg.go.id/

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INDONESIA, STASIUN METEOROLOGI KEMAYORAN (STAID: 180).
Blended and updated with sources: 100102 996739 996741 996745 996749 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
100102,18651201,-9999,    9
100102,18651202,-9999,    9
100102,18651203,-9999,    9
100102,18651204,-9999,    9
100102,18651205,-9999,    9
100102,18651206,-9999,    9
100102,18651207,-9999,    9
100102,18651208,-9999,    9
100102,18651209,-9999,    9
100102,18651210,-9999,    9
100102,18651211,-9999,    9
100102,18651212,-9999,    9
100102,18651213,-9999,    9
100102,18651214,-9999,    9
100102,18651215,-9999,    9
100102,18651216,-9999,    9
100102,18651217,-9999,    9
100102,18651218,-9999,    9
100102,18651219,-9999,    9
100102,18651220,-9999,    9
100102,18651221,-9999,    9
100102,18651222,-9999,    9
100102,18651223,-9999,    9
100102,18651224,-9999,    9
100102,18651225,-9999,    9
100102,18651226,-9999,    9
100102,18651227,-9999,    9
100102,18651228,-9999,    9
100102,18651229,-9999,    9
100102,18651230,-9999,    9
100102,18651231,-9999,    9
100102,18660101,  259,    0
100102,18660102,  252,    0
100102,18660103,  258,    0
100102,18660104,  248,    0
100102,18660105,  250,    0
100102,18660106,  263,    0
100102,18660107,-9999,    9
100102,18660108,  258,    0
100102,18660109,  256,    0
100102,18660110,  257,    0
100102,18660111,  261,    0
100102,18660112,  259,    0
100102,18660113,  250,    0
100102,18660114,-9999,    9
100102,18660115,  241,    0
100102,18660116,  261,    0
100102,18660117,  255,    0
100102,18660118,  253,    0
100102,18660119,  244,    0
100102,18660120,  248,    0
100102,18660121,-9999,    9
100102,18660122,  242,    0
100102,18660123,  245,    0
100102,18660124,  250,    0
100102,18660125,  246,    0
100102,18660126,  252,    0
100102,18660127,  256,    0
100102,18660128,-9999,    9
100102,18660129,  249,    0
100102,18660130,  254,    0
100102,18660131,  260,    0
100102,18660201,  263,    0
100102,18660202,  260,    0
100102,18660203,  256,    0
100102,18660204,-9999,    9
100102,18660205,  258,    0
100102,18660206,  253,    0
100102,18660207,  251,    0
100102,18660208,  246,    0
100102,18660209,  255,    0
100102,18660210,  260,    0
100102,18660211,-9999,    9
100102,18660212,  255,    0
100102,18660213,  249,    0
100102,18660214,  248,    0
100102,18660215,  249,    0
100102,18660216,  245,    0
100102,18660217,  252,    0
100102,18660218,-9999,    9
100102,18660219,  244,    0
100102,18660220,  249,    0
100102,18660221,  246,    0
100102,18660222,  249,    0
100102,18660223,  251,    0
100102,18660224,  252,    0
100102,18660225,-9999,    9
100102,18660226,  249,    0
100102,18660227,  253,    0
100102,18660228,  255,    0
100102,18660301,  238,    0
100102,18660302,  254,    0
100102,18660303,  261,    0
100102,18660304,-9999,    9
100102,18660305,  265,    0
100102,18660306,  258,    0
100102,18660307,  260,    0
100102,18660308,  261,    0
100102,18660309,  264,    0
100102,18660310,  263,    0
100102,18660311,-9999,    9
100102,18660312,  263,    0
100102,18660313,  264,    0
100102,18660314,  265,    0
100102,18660315,  266,    0
100102,18660316,  274,    0
100102,18660317,  267,    0
100102,18660318,-9999,    9
100102,18660319,  254,    0
100102,18660320,  269,    0
100102,18660321,  273,    0
100102,18660322,  261,    0
100102,18660323,  263,    0
100102,18660324,  271,    0
100102,18660325,-9999,    9
100102,18660326,  262,    0
100102,18660327,  264,    0
100102,18660328,  256,    0
100102,18660329,  261,    0
100102,18660330,  256,    0
100102,18660331,  269,    0
100102,18660401,-9999,    9
100102,18660402,  261,    0
100102,18660403,  265,    0
100102,18660404,  271,    0
100102,18660405,  271,    0
100102,18660406,  266,    0
100102,18660407,  270,    0
100102,18660408,-9999,    9
100102,18660409,  266,    0
100102,18660410,  265,    0
100102,18660411,  263,    0
100102,18660412,  257,    0
100102,18660413,  259,    0
100102,18660414,  259,    0
100102,18660415,-9999,    9
100102,18660416,  261,    0
100102,18660417,  258,    0
100102,18660418,  264,    0
100102,18660419,  265,    0
100102,18660420,  263,    0
100102,18660421,  266,    0
100102,18660422,-9999,    9
100102,18660423,  258,    0
100102,18660424,  262,    0
100102,18660425,  268,    0
100102,18660426,  271,    0
100102,18660427,  259,    0
100102,18660428,  266,    0
100102,18660429,-9999,    9
100102,18660430,  265,    0
100102,18660501,  268,    0
100102,18660502,  264,    0
100102,18660503,  268,    0
100102,18660504,  269,    0
100102,18660505,  268,    0
100102,18660506,-9999,    9
100102,18660507,  264,    0
100102,18660508,  247,    0
100102,18660509,  261,    0
100102,18660510,  263,    0
100102,18660511,  264,    0
100102,18660512,  262,    0
100102,18660513,-9999,    9
100102,18660514,  242,    0
100102,18660515,  253,    0
100102,18660516,  254,    0
100102,18660517,  259,    0
100102,18660518,  256,    0
100102,18660519,  260,    0
100102,18660520,-9999,    9
100102,18660521,  262,    0
100102,18660522,  257,    0
100102,18660523,  267,    0
100102,18660524,  249,    0
100102,18660525,  255,    0
100102,18660526,  261,    0
100102,18660527,-9999,    9
100102,18660528,  259,    0
100102,18660529,  259,    0
100102,18660530,  262,    0
100102,18660531,  262,    0
100102,18660601,  257,    0
100102,18660602,  262,    0
100102,18660603,-9999,    9
100102,18660604,  264,    0
100102,18660605,  250,    0
100102,18660606,  262,    0
100102,18660607,  269,    0
100102,18660608,  256,    0
100102,18660609,  264,    0
100102,18660610,-9999,    9
100102,18660611,  258,    0
100102,18660612,  263,    0
100102,18660613,  260,    0
100102,18660614,  259,    0
100102,18660615,  266,    0
100102,18660616,  264,    0
